round,avg_train_loss,test_acc
0,0.7452,0.917
1,0.2499,0.941
2,0.1543,0.953
3,0.1259,0.961
4,0.1000,0.965
5,0.0889,0.968
6,0.0765,0.970
7,0.0656,0.973
8,0.0625,0.975
9,0.0503,0.975
10,0.0452,0.977
11,0.0519,0.977
12,0.0425,0.979
13,0.0455,0.981
14,0.0450,0.981
15,0.0396,0.982
16,0.0323,0.981
17,0.0279,0.982
18,0.0331,0.983
19,0.0271,0.983
20,0.0284,0.983
21,0.0229,0.984
22,0.0326,0.984
23,0.0340,0.984
24,0.0281,0.985
25,0.0314,0.984
26,0.0248,0.985
27,0.0256,0.985
28,0.0285,0.986
29,0.0234,0.986
30,0.0275,0.986
31,0.0254,0.986
32,0.0277,0.987
33,0.0184,0.987
34,0.0223,0.988
35,0.0212,0.988
36,0.0202,0.988
37,0.0169,0.987
38,0.0185,0.987
39,0.0217,0.988
40,0.0183,0.988
41,0.0259,0.988
42,0.0219,0.988
43,0.0160,0.989
44,0.0195,0.988
45,0.0185,0.988
46,0.0140,0.989
47,0.0210,0.989
48,0.0158,0.989
49,0.0142,0.989
50,0.0168,0.990
51,0.0152,0.989
52,0.0139,0.989
53,0.0161,0.989
54,0.0146,0.989
55,0.0153,0.989
56,0.0138,0.989
57,0.0129,0.989
58,0.0195,0.989
59,0.0135,0.989
60,0.0119,0.989
61,0.0125,0.989
62,0.0105,0.989
63,0.0129,0.989
64,0.0150,0.989
65,0.0132,0.989
66,0.0124,0.989
67,0.0133,0.990
68,0.0142,0.989
69,0.0164,0.989
70,0.0117,0.990
71,0.0106,0.989
72,0.0132,0.990
73,0.0113,0.990
74,0.0146,0.990
75,0.0122,0.990
76,0.0110,0.990
77,0.0124,0.990
78,0.0131,0.990
79,0.0084,0.990
80,0.0095,0.990
81,0.0097,0.991
82,0.0122,0.990
83,0.0093,0.989
84,0.0133,0.989
85,0.0154,0.991
86,0.0116,0.990
87,0.0108,0.990
88,0.0096,0.990
89,0.0126,0.990
90,0.0109,0.991
91,0.0090,0.990
92,0.0101,0.991
93,0.0115,0.990
94,0.0088,0.990
95,0.0099,0.990
96,0.0072,0.991
97,0.0099,0.991
98,0.0130,0.990
99,0.0073,0.990
100,0.0087,0.990
101,0.0077,0.990
102,0.0085,0.990
103,0.0139,0.991
104,0.0102,0.991
105,0.0087,0.991
106,0.0095,0.991
107,0.0065,0.991
108,0.0087,0.991
109,0.0096,0.991
110,0.0063,0.991
111,0.0089,0.991
112,0.0087,0.991
113,0.0093,0.991
114,0.0087,0.991
115,0.0076,0.991
116,0.0089,0.991
117,0.0066,0.991
118,0.0098,0.991
119,0.0083,0.991
120,0.0075,0.991
121,0.0070,0.991
122,0.0073,0.991
123,0.0087,0.991
124,0.0099,0.991
125,0.0080,0.991
126,0.0077,0.991
127,0.0050,0.992
128,0.0054,0.992
129,0.0049,0.992
130,0.0084,0.992
131,0.0058,0.992
132,0.0075,0.992
133,0.0051,0.992
134,0.0068,0.991
135,0.0063,0.991
136,0.0077,0.991
137,0.0045,0.990
138,0.0076,0.991
139,0.0089,0.991
140,0.0054,0.991
141,0.0056,0.991
142,0.0069,0.991
143,0.0061,0.992
144,0.0044,0.991
145,0.0047,0.991
146,0.0065,0.991
147,0.0069,0.991
148,0.0046,0.992
149,0.0071,0.992
150,0.0078,0.992
151,0.0076,0.991
152,0.0075,0.992
153,0.0047,0.992
154,0.0043,0.992
155,0.0042,0.992
156,0.0067,0.992
157,0.0049,0.992
158,0.0083,0.992
159,0.0067,0.992
160,0.0088,0.991
161,0.0080,0.992
162,0.0052,0.992
163,0.0091,0.992
164,0.0061,0.992
165,0.0062,0.991
166,0.0040,0.991
167,0.0071,0.992
168,0.0035,0.992
169,0.0044,0.991
170,0.0056,0.992
171,0.0036,0.992
172,0.0055,0.991
173,0.0062,0.991
174,0.0047,0.992
175,0.0039,0.991
176,0.0040,0.991
177,0.0074,0.992
178,0.0045,0.992
179,0.0034,0.991
180,0.0028,0.991
181,0.0048,0.992
182,0.0052,0.992
183,0.0046,0.991
184,0.0038,0.991
185,0.0035,0.992
186,0.0040,0.992
187,0.0025,0.992
188,0.0064,0.993
189,0.0064,0.992
190,0.0048,0.992
191,0.0040,0.992
192,0.0023,0.992
193,0.0035,0.992
194,0.0026,0.992
195,0.0032,0.992
196,0.0053,0.992
197,0.0025,0.992
198,0.0073,0.992
199,0.0039,0.992
