round,avg_train_loss,test_acc
0,0.8693,0.881
1,0.4215,0.904
2,0.3351,0.914
3,0.2675,0.918
4,0.2621,0.923
5,0.2373,0.930
6,0.2115,0.931
7,0.1992,0.934
8,0.1854,0.938
9,0.1771,0.941
10,0.1773,0.944
11,0.1641,0.944
12,0.1612,0.947
13,0.1489,0.948
14,0.1592,0.952
15,0.1369,0.952
16,0.1402,0.953
17,0.1278,0.954
18,0.1314,0.956
19,0.1265,0.956
20,0.1231,0.958
21,0.1135,0.957
22,0.1252,0.959
23,0.1182,0.959
24,0.1159,0.961
25,0.1089,0.960
26,0.1120,0.960
27,0.1023,0.959
28,0.1055,0.962
29,0.1116,0.963
30,0.0919,0.964
31,0.1010,0.964
32,0.0943,0.964
33,0.0895,0.964
34,0.0946,0.965
35,0.0896,0.965
36,0.0929,0.966
37,0.0945,0.967
38,0.0891,0.966
39,0.0869,0.967
40,0.0838,0.966
41,0.0916,0.967
42,0.0813,0.967
43,0.0860,0.968
44,0.0828,0.968
45,0.0865,0.969
46,0.0697,0.968
47,0.0853,0.969
48,0.0731,0.969
49,0.0811,0.969
50,0.0762,0.969
51,0.0764,0.969
52,0.0646,0.969
53,0.0751,0.970
54,0.0673,0.969
55,0.0766,0.970
56,0.0746,0.970
57,0.0684,0.970
58,0.0715,0.970
59,0.0675,0.970
60,0.0668,0.971
61,0.0700,0.970
62,0.0640,0.971
63,0.0648,0.971
64,0.0690,0.971
65,0.0736,0.972
66,0.0709,0.972
67,0.0647,0.972
68,0.0602,0.972
69,0.0653,0.972
70,0.0645,0.972
71,0.0605,0.972
72,0.0722,0.972
73,0.0576,0.972
74,0.0639,0.971
75,0.0616,0.973
76,0.0571,0.972
77,0.0672,0.973
78,0.0645,0.973
79,0.0700,0.974
80,0.0623,0.973
81,0.0620,0.974
82,0.0572,0.974
83,0.0563,0.974
84,0.0533,0.974
85,0.0536,0.974
86,0.0558,0.975
87,0.0546,0.974
88,0.0606,0.974
89,0.0544,0.975
90,0.0620,0.974
91,0.0563,0.974
92,0.0543,0.974
93,0.0536,0.974
94,0.0575,0.974
95,0.0496,0.974
96,0.0493,0.974
97,0.0533,0.974
98,0.0527,0.975
99,0.0498,0.975
100,0.0551,0.975
101,0.0552,0.975
102,0.0564,0.975
103,0.0603,0.974
104,0.0503,0.975
105,0.0511,0.974
106,0.0513,0.974
107,0.0538,0.974
108,0.0483,0.975
109,0.0495,0.975
110,0.0470,0.974
111,0.0489,0.975
112,0.0552,0.975
113,0.0557,0.975
114,0.0487,0.975
115,0.0484,0.976
116,0.0504,0.975
117,0.0504,0.975
118,0.0484,0.975
119,0.0579,0.975
120,0.0449,0.976
121,0.0472,0.975
122,0.0488,0.975
123,0.0522,0.976
124,0.0421,0.975
125,0.0511,0.975
126,0.0410,0.976
127,0.0412,0.975
128,0.0543,0.976
129,0.0466,0.976
130,0.0555,0.976
131,0.0474,0.976
132,0.0417,0.975
133,0.0442,0.975
134,0.0481,0.975
135,0.0496,0.976
136,0.0468,0.976
137,0.0447,0.975
138,0.0406,0.976
139,0.0436,0.975
140,0.0444,0.976
141,0.0428,0.976
142,0.0481,0.976
143,0.0452,0.976
144,0.0427,0.976
145,0.0469,0.976
146,0.0399,0.977
147,0.0497,0.976
148,0.0402,0.976
149,0.0425,0.976
150,0.0457,0.977
151,0.0407,0.976
152,0.0391,0.976
153,0.0401,0.976
154,0.0466,0.976
155,0.0435,0.977
156,0.0436,0.977
157,0.0414,0.977
158,0.0445,0.978
159,0.0431,0.977
160,0.0412,0.976
161,0.0473,0.977
162,0.0370,0.977
163,0.0395,0.977
164,0.0409,0.977
165,0.0408,0.977
166,0.0409,0.977
167,0.0452,0.976
168,0.0430,0.976
169,0.0393,0.977
170,0.0377,0.977
171,0.0426,0.977
172,0.0375,0.976
173,0.0420,0.977
174,0.0359,0.977
175,0.0472,0.978
176,0.0446,0.978
177,0.0394,0.977
178,0.0354,0.978
179,0.0420,0.978
180,0.0402,0.978
181,0.0391,0.978
182,0.0401,0.978
183,0.0382,0.977
184,0.0380,0.977
185,0.0332,0.978
186,0.0391,0.978
187,0.0347,0.978
188,0.0458,0.979
189,0.0416,0.977
190,0.0373,0.978
191,0.0356,0.978
192,0.0408,0.978
193,0.0408,0.976
194,0.0357,0.978
195,0.0371,0.977
196,0.0393,0.978
197,0.0393,0.977
198,0.0358,0.977
199,0.0382,0.977
